0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-4.76837e-07 -1.57001 7.15256e-07 -1.57 4.76837e-07 -2.38419e-06 0 0 0 0 0 0 0 0 0 0 0 0 -0.0451061 0.632545 -0.0450132 0.708324 0.0175308 -0.0693379 
-2.86102e-06 -1.57 2.38419e-07 -1.57 -4.76837e-07 -2.14577e-06 0 0 0 0 0 0 0 0 0 0 0 0 -0.0451076 0.632552 -0.0450074 0.708325 0.0175289 -0.0693377 
-1.33514e-05 -1.56999 -1.19209e-06 -1.57 -4.76837e-07 -2.38419e-06 0 0 0 0 0 0 -0.0451061 0.632545 -0.0450132 0.708324 0.0175308 -0.0693379 -0.0451029 0.632548 -0.0450076 0.708325 0.0175288 -0.0693373 
-0.00225353 -1.54596 -0.00229669 -1.53458 0.00087595 -0.00347066 0 0 0 0 0 0 -0.0451076 0.632552 -0.0450074 0.708325 0.0175289 -0.0693377 -0.0421017 0.617225 -0.0464295 0.691748 0.0178365 -0.0666921 
-0.00450873 -1.51431 -0.0045445 -1.49916 0.00175142 -0.0069375 0 0 0 0 0 0 -0.0451029 0.632548 -0.0450076 0.708325 0.0175288 -0.0693373 -0.0390934 0.597021 -0.0486144 0.675047 0.0184001 -0.0637113 
-0.00676346 -1.48268 -0.00678563 -1.46374 0.00262785 -0.0104043 0 0 0 0 0 0 -0.0421017 0.617225 -0.0464295 0.691748 0.0178365 -0.0666922 -0.036232 0.576649 -0.0508859 0.658346 0.0189605 -0.0607309 
-0.00676346 -1.48268 -0.00678563 -1.46374 0.00262785 -0.0104043 0 0 0 0 0 0 -0.0421017 0.617225 -0.0464295 0.691748 0.0178365 -0.0666922 -0.036232 0.576649 -0.0508859 0.658346 0.0189605 -0.0607309 
